,GSM5444463,GSM5444460,GSM5444461,GSM5444462,GSM5444464,GSM5444465,GSM5444448,GSM5444449,GSM5444450,GSM5444451,GSM5444452,GSM5444453,GSM5444454,GSM5444455,GSM5444456,GSM5444457,GSM5444458,GSM5444459
ENSG00000236897.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000205494.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171944.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182070.5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176752.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176748.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176742.2,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224091.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285498.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000221031.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000244734.4,1,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000223609.11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000229988.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000260629.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213934.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284931.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196565.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
ENSG00000239920.2,0,5,43,2,9,11,39,63,45,64,51,0,0,0,0,4,0,0
ENSG00000213931.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000229093.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000183251.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167355.8,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,9,0,0
ENSG00000223735.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279012.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236359.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176239.7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0
ENSG00000230087.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236248.1,18,2,1,12,17,3,4,4,8,6,3,41,13,36,17,6,32,112
ENSG00000184698.5,0,0,0,0,0,0,6,3,0,1,1,0,0,0,0,31,4,0
ENSG00000184321.1,0,0,0,0,0,0,3,12,0,8,1,0,0,0,0,7,0,7
ENSG00000167360.6,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,25,0,0
ENSG00000248424.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167359.8,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ENSG00000187918.5,0,1,0,0,17,0,0,0,0,3,0,0,0,0,0,2,0,0
ENSG00000230484.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000181609.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175520.9,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
ENSG00000175518.8,3,0,8,0,0,3,33,32,5,29,14,0,0,0,0,0,0,0
ENSG00000224295.3,5,0,0,0,0,3,8,7,2,4,6,0,0,0,0,0,0,0
ENSG00000249633.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000181616.9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0
ENSG00000248553.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231049.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233646.1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229534.1,0,0,0,0,0,0,0,18,0,4,0,0,0,0,0,0,0,0
ENSG00000187747.2,1,3,0,0,0,2,0,12,6,4,0,0,0,0,0,1,0,0
ENSG00000121236.21,35,39,8,4,55,10,103,130,88,148,89,11,0,0,0,11,2,0
ENSG00000258588.3,22,30,31,20,28,32,167,125,178,210,94,19,5,10,52,46,3,0
ENSG00000258659.6,14,30,31,20,18,29,147,112,164,189,89,8,5,10,52,45,3,0
ENSG00000132256.19,67,75,107,45,81,56,341,513,380,539,287,16,57,101,0,123,3,0
ENSG00000132274.16,11,0,6,0,8,31,135,173,114,193,98,0,2,0,0,37,6,0
ENSG00000232381.1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
ENSG00000181109.3,0,0,0,0,0,0,8,0,4,0,2,0,0,0,0,0,0,0
ENSG00000181023.8,0,0,0,0,0,0,19,4,0,6,2,0,0,0,0,17,1,0
ENSG00000181074.4,0,5,0,4,0,0,4,0,1,2,2,0,0,0,0,3,0,0
ENSG00000181017.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000181009.5,0,0,0,0,0,0,4,2,0,0,3,0,0,0,0,0,0,0
ENSG00000181001.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000236965.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180988.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000205409.3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ENSG00000183269.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000233563.1,0,0,0,0,0,0,11,9,7,9,7,0,0,0,0,7,0,0
ENSG00000180974.4,0,0,0,0,0,0,1,4,2,6,7,0,0,0,0,0,0,0
ENSG00000277932.2,0,0,0,0,0,0,9,1,12,9,7,0,0,0,0,0,0,0
ENSG00000277514.1,0,0,0,8,0,0,8,10,7,18,20,0,0,0,0,7,1,0
ENSG00000184478.7,0,0,0,0,0,3,133,120,100,112,71,0,23,11,0,46,1,0
ENSG00000188691.5,0,0,0,0,0,0,18,25,11,15,10,0,0,0,0,4,0,0
ENSG00000183313.4,0,0,0,0,0,0,7,2,2,1,0,0,0,0,0,0,0,0
ENSG00000254831.1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000183389.5,0,0,0,2,0,0,14,34,18,19,13,0,0,0,0,7,0,0
